LIST SIZE;TIME TAKEN;STDEV
10000;1.3E-6s;7.794885084908E8
10000;1.1E-6s;7.790140428299999E8
10000;3.1E-6s;7.8735725987E8
10000;1.1E-6s;7.790140428299999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.6E-6s;7.80350147E8
10000;1.3E-6s;7.794885084908E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;3.4E-6s;7.892984665088E8
10000;1.0E-6s;7.788067980031999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.1E-6s;7.790140428299999E8
10000;1.6E-6s;7.80350147E8
10000;1.1E-6s;7.790140428299999E8
10000;1.3E-6s;7.794885084908E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;1.6E-6s;7.80350147E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.7E-6s;7.806773438412E8
10000;1.4E-6s;7.797557293248E8
10000;1.4E-6s;7.797557293248E8
10000;5.2E-6s;8.047241947951999E8
10000;1.8E-6s;7.810245326847999E8
10000;1.8E-6s;7.810245326847999E8
10000;1.6E-6s;7.80350147E8
10000;1.3E-6s;7.794885084908E8
10000;3.4E-6s;7.892984665088E8
10000;1.2E-6s;7.792412796592001E8
10000;1.7E-6s;7.806773438412E8
10000;1.7E-6s;7.806773438412E8
10000;1.5E-6s;7.800429421611999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.4E-6s;7.797557293248E8
10000;1.2E-6s;7.792412796592001E8
10000;1.5E-6s;7.800429421611999E8
10000;3.6E-6s;7.906925642799999E8
10000;1.2E-6s;7.792412796592001E8
10000;1.6E-6s;7.80350147E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;1.1E-6s;7.790140428299999E8
10000;1.4E-6s;7.797557293248E8
10000;3.4E-6s;7.892984665088E8
10000;1.2E-6s;7.792412796592001E8
10000;1.2E-6s;7.792412796592001E8
10000;6.2E-6s;8.160929241792002E8
10000;7.1E-6s;8.280340968300002E8
10000;4.1E-6s;7.9452766875E8
10000;1.2E-6s;7.792412796592001E8
10000;1.3E-6s;7.794885084908E8
10000;1.4E-6s;7.797557293248E8
10000;3.1E-6s;7.8735725987E8
10000;1.5E-6s;7.800429421611999E8
