MIDA;N ACCESSOS;DESV EST
1000;3.04;1.8331393836803571
2000;4.9205;2.5167796387447114
3000;3.7503333333333333;2.7807672602279188
4000;3.45675;2.770943781006723
5000;2.8772;2.464654166409531
6000;2.6746666666666665;2.2946658919231586
7000;2.869;2.2429850327504997
8000;2.966;2.103115308298535
9000;2.8663333333333334;1.8534711879185026
10000;3.0373;1.9054943479317943
11000;3.1825454545454543;1.8589207212610828
12000;3.3590833333333334;1.9082214650617118
13000;3.8327692307692307;2.4933209288894034
14000;3.743;2.043759036677218
15000;3.9614;2.1211419974468657
16000;4.088;2.0287018016457417
17000;4.368294117647059;2.3287096973799644
18000;4.507333333333333;2.2768281055500927
19000;4.706789473684211;2.3988760982231363
20000;5.02895;2.63524418175975
21000;4.761952380952381;2.5850762165460086
22000;4.604318181818182;2.6498077955402404
23000;4.4250869565217394;2.6841477056009704
24000;4.306541666666667;2.7462533034294805
25000;4.24176;2.772023106397369
26000;4.407807692307692;3.2512779442412048
27000;3.930111111111111;2.764665405156411
28000;3.9669285714285714;2.920698154411602
29000;3.763896551724138;2.805735503114504
30000;3.6630333333333334;2.8481491297957624
31000;3.7455806451612905;2.8429221367738524
32000;4.052375;2.9349734852929226
33000;3.507848484848485;2.64690767112694
34000;3.542411764705882;2.8343940229810283
35000;3.341142857142857;2.7446402537401515
36000;3.48925;2.7412478897495105
37000;3.229756756756757;2.7325952312020654
38000;3.2266578947368423;2.798480769954895
39000;3.141179487179487;2.7367989243634123
40000;3.4428;2.8515834478408864
41000;3.145487804878049;2.5778946091157042
42000;3.0524761904761903;2.525113587620566
43000;3.028953488372093;2.5219729859819005
44000;3.4204090909090907;2.6359458912761484
45000;3.1484444444444444;2.7703284647257793
46000;3.0520434782608694;2.579625048221243
47000;2.879446808510638;2.5297167683400654
48000;3.1330416666666667;2.6628555940808885
49000;2.9045510204081633;2.600017994923643
50000;3.1417;2.7396534653125464
